file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2020-12-11-18-57_seed_3502.png	3502	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-18-57_seed_5051.png	5051	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-18-57_seed_1712.png	1712	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-18-57_seed_5275.png	5275	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-18-57_seed_6858.png	6858	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-03_seed_9813.png	9813	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-03_seed_8011.png	8011	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-03_seed_6001.png	6001	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-03_seed_8236.png	8236	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-03_seed_9354.png	9354	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-12_seed_2343.png	2343	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-13_seed_6239.png	6239	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-13_seed_4323.png	4323	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-13_seed_8933.png	8933	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-13_seed_8759.png	8759	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2020-12-11-19-21_seed_7400.png	7400	runif(2, -1, 10) * x_i^2 - sqrt(y_i^3)	runif(2, -1, 10) * y_i^3 - sqrt(y_i^5)/x_i^22
2020-12-11-19-21_seed_6060.png	6060	runif(1, -1, 10) * x_i^2 - sqrt(y_i^3)	runif(1, -1, 10) * y_i^3 - sqrt(y_i^5)/x_i^22
2020-12-11-19-23_seed_8981.png	8981	runif(1, -1, 10) * x_i^2 - cos(y_i^3)	runif(1, -1, 10) * y_i^3 - sqrt(y_i^5)/x_i^22
2020-12-11-19-23_seed_2944.png	2944	runif(1, -1, 10) * x_i^2 - cos(y_i^3)	runif(1, -1, 10) * y_i^3 - sqrt(y_i)/x_i^22
2020-12-11-19-24_seed_701.png	701	runif(1, -1, 10) * x_i^2 - cos(y_i^3)	runif(1, -1, 10) * y_i^3 - sin(y_i) * x_i^22
2020-12-11-19-27_seed_3795.png	3795	runif(1, -1, 10) * x_i^2 - cos(y_i^3)	runif(1, -1, 10) * y_i^3 - sin(sqrt(y_i)) * x_i^11
